year,make,model,vin
2014,Ford,Mustang,1zvbp8am9e5240451
2013,Kia,Sportage,kndpb3a24d7445395
2008,Dodge,Grand Caravan,2d8hn54p28r805171
2006,Toyota,Camry,4t1be32k06u677055
2013,Mercedes-Benz,GL-Class,4jgdf7ce9da248985
2012,Honda,Accord,1hgcs2b88ca000737
2013,Ford,Edge,2fmdk4gc7dbb83528
2005,Audi,A4,waulc68e05a077487
2014,Toyota,Camry,4t1bf1fk9eu308494
2013,Ford,Focus,1fadp3f22dl168403
2011,Lexus,RX 450h,jtjbc1ba4b2043613
2015,MINI,Cooper Countryman,wmwzb3c53fwr42508
2008,Honda,Civic,1hgfa16518l036677
2013,Ford,Fiesta,3fadp4ej3dm150621
2008,Chevrolet,Cobalt,1g1al58f687317651
2012,Subaru,Legacy,4s3bmcc67c3020957
2014,Chevrolet,Cruze,1g1pg5sb7e7306884
2009,Toyota,Camry,4t4be46k09r049930
2011,Chevrolet,Impala,2g1wf5ek7b1276983
2008,Chrysler,Town and Country,2a8hr54p78r794616
2012,GMC,Acadia,1gkkvredxcj254943
2008,Audi,A3,waunf78p78a010137
2010,Ford,Ranger,1ftkr1ee8apa19784
2011,Toyota,Camry Hybrid,4t1bb3ekxbu139607
2014,Nissan,Altima,1n4al3ap6en336423
2013,Chevrolet,Sonic,1g1jc5sh8d4124942
2012,Hyundai,Sonata,5npeb4ac3ch461409
2013,BMW,3 Series,wba3b3c57df541417
2015,Chevrolet,Tahoe,1gnscbkc8fr152221
2011,Infiniti,M37,jn1by1ap5bm326314
2013,BMW,1 Series,wbaun7c58dvm28200
2009,Ford,Ranger,1ftyr14e59pa51583
2014,Nissan,Maxima,1n4aa5ap3ec462820
2011,Nissan,Rogue,jn8as5mt7bw153530
2012,Ford,Focus,1fahp3k22cl257913
2014,Chevrolet,Cruze,1g1pg5sb1e7120239
2015,Nissan,Frontier,1n6ad0erxfn737571
2014,Dodge,Charger,2c3cdxhg0eh267271
2013,Toyota,Sienna,5tdkk3dc0ds357609
2013,Chevrolet,Malibu,1g11b5sa9df182536
2008,Chevrolet,TrailBlazer,1gnds13s082198259
2011,Volkswagen,Jetta,3vwdz7aj0bm350393
2012,Nissan,Altima,1n4al2ap9cn455039
2010,Scion,xB,jtlze4fe4a1110262
1999,Ford,Explorer,1fmzu34exxzc06849
2011,Ford,Crown Victoria,2fabp7ev2bx136190
2014,Ford,F-150,1ftfw1ef4ekg43524
2007,Ford,Mustang,1zvft84nx75301603
2012,Dodge,Grand Caravan,2c4rdgcg7cr304546
2004,Lexus,IS 300,jthbd192940088428
2012,Hyundai,Veloster,kmhtc6adxcu032648
2014,Chevrolet,Express,1gazg1fgxe1145294
2014,Ford,Fusion,3fa6p0h76er354349
2011,Infiniti,G Sedan,jn1cv6ar2bm355507
2005,Ford,Taurus,1fahp56s55a148561
2014,Subaru,XV Crosstrek,jf2gpbcc3eh223946
2011,Chevrolet,Malibu,1g1zc5e1xbf131619
2012,Kia,Sorento,5xykt4a69cg259921
2011,Hyundai,Sonata,5npeb4ac5bh197740
2011,Mercedes-Benz,M-Class,4jgbb8gb9ba646560
2012,Scion,xD,jtkku4b42c1018267
2013,Infiniti,JX,5n1al0mn8dc339834
2012,Hyundai,Elantra,kmhdh4ae8cu265608
2001,Ford,Taurus,1fahp52ux1g168397
2012,Nissan,Maxima,1n4aa5ap8cc824153
2010,Cadillac,CTS,1g6de5eg3a0141316
2012,Nissan,Leaf,jn1az0cp9ct022376
2004,Ford,Expedition,1fmeu17w74lb21912
2011,BMW,3 Series,wbaph7c5xbe678409
2014,Infiniti,Q50,jn1bv7ap1em675535
2013,Toyota,Prius,jtdkn3du5d5589418
2007,BMW,3 Series,wbawl135x7px14909
2007,BMW,X5,5uxfe83517lz38145
2013,Toyota,Avalon,4t1bk1eb5du026574
2003,GMC,Envoy XL,1gkes16s936134560
2010,Nissan,Armada,5n1aa0nd1an604220
2013,Ford,Edge,2fmdk3gc5dbe22259
2011,Chevrolet,Camaro,2g1fk1ej5b9200286
2014,Chrysler,200,1c3ccbbb5en153048
2014,Dodge,Charger,2c3cdxbg3eh265233
2006,Mercury,Mountaineer,4m2eu48806uj01871
2005,Subaru,Legacy,4s3bl616056225447
2009,GMC,Yukon,1gkfk33029r231450
2012,BMW,5 Series,wbafu7c50cdu58534
2012,Jeep,Grand Cherokee,1c4rjfcg4cc208014
2002,Dodge,Grand Caravan,2b4gp44342r706299
2013,Buick,Encore,kl4cjbsb2db073721
2012,Nissan,Altima,1n4al2ap8cc219431
2014,Toyota,Camry,4t1bf1fk1eu422389
2014,Buick,Enclave,5gakvbkd8ej345365
2013,Nissan,Pathfinder,5n1ar2mm0dc666441
2012,Ford,Escape,1fmcu0d73cka12110
2004,Lexus,LS 430,jthbn36f340137395
2000,Ford,Econoline Cargo,1ftse34lxyha69128
2012,Honda,Accord,1hgcp2f38ca064521
2012,Toyota,Camry,4t1bf1fk5cu026608
2010,Kia,Forte,knafu4a29a5217179
2008,Chevrolet,Express Cargo,1gchg35k481102563
2012,Toyota,RAV4,2t3bf4dv9cw253807
2014,Chrysler,200,1c3ccbbb8en132291
2011,Nissan,Rogue,jn8as5mvxbw291094
2014,Nissan,Altima,1n4al3ap0ec323310
2014,Ford,F-150,1ftnf1cfxeke27353
2011,Chevrolet,Equinox,2cnflcec2b6284677
2013,Mercedes-Benz,E-Class,wddhf8jb2da737500
2012,Lexus,ES 350,jthbk1eg7c2474792
2014,Chrysler,300,2c3ccaag8eh232486
2013,Ford,Focus,1fadp3f29dl291986
2007,Ford,Explorer,1fmeu63e07ub29178
2010,Ford,F-150,1ftfx1ev1afb80586
2004,Chevrolet,Silverado 1500,1gcec14t84z283949
2010,Chevrolet,Aveo,kl1td6de7ab096345
2007,Mercedes-Benz,GL-Class,4jgbf71e77a243167
1995,Mercedes-Benz,SL-Class,wdbfa67exsf123895
2013,Suzuki,Grand Vitara,js3te0d29d4100009
2012,Mazda,CX-9,jm3tb3cv3c0338343
2002,Ford,F-150,1ftrx17w52nb40280
2009,Toyota,Highlander Hybrid,jteew44a192032001
2009,Hyundai,Tucson,km8jm12b29u960743
2014,Chrysler,300,2c3ccaag3eh245632
2014,Toyota,Sienna,5tdkk3dc1es501170
2011,Nissan,Maxima,1n4aa5ap8bc867342
2014,Chrysler,Town and Country,2c4rc1bg8er174393
2007,Mitsubishi,Eclipse,4a3ak24f87e036666
2014,Ford,Escape,1fmcu9j9xeua15796
2013,Nissan,Rogue,jn8as5mv4dw109490
2012,Ford,Fusion,3fahp0gaxcr270943
2012,BMW,3 Series,wba3a5c56cf343599
2012,Jeep,Grand Cherokee,1c4rjfag0cc214346
2014,Nissan,Sentra,3n1ab7ap7el612938
2012,Dodge,Grand Caravan,2c4rdgbg5cr238080
2013,Ford,Fusion,3fa6p0k99dr147981
2015,Kia,Sorento,5xykt4a63fg574119
2014,Nissan,Altima,1n4al3ap6en355361
2014,Kia,Soul,kndjp3a58e7078956
2007,Honda,Accord,1hgcm82647a006195
2011,BMW,5 Series,wbafu7c53bc871682
2014,GMC,Acadia,1gkkvpkd6ej342903
2010,Volkswagen,CC,wvwmp7an8ae543617
1997,Lexus,ES 300,jt8bf22g9v0018855
2009,Chrysler,Sebring,1c3lc46b39n566792
2011,Chevrolet,Silverado 1500,1gcpkse30bf175596
2003,Ford,Ranger,1ftzr45e13ta07440
2013,Mazda,Mazda5,jm1cw2cl7d0152652
2012,Cadillac,CTS,1g6dc5e54c0150128
2014,Chrysler,300,2c3ccaag2eh221032
2007,Lexus,IS 250,jthbk262575036222
2007,Chevrolet,Malibu,1g1zt57f97f154633
2015,Kia,Sorento,5xyktca68fg570660
2006,Audi,A6,waudh74f16n165727
2012,Chevrolet,Volt,1g1ra6e45cu109594
2015,Chevrolet,Sonic,1g1je6sb6f4124792
2011,Toyota,RAV4,2t3bf4dv2bw166314
2012,Hyundai,Sonata,5npeb4ac3ch483040
2012,GMC,Acadia,1gkkrted8cj184389
2014,Ford,Fiesta,3fadp4ej2em145704
2005,Acura,MDX,2hnyd18875h508440
2008,Ford,Escape,1fmcu931x8ke68209
2011,Cadillac,DTS,1g6kh5e62bu148970
2014,Dodge,Grand Caravan,2c4rdgbg6er288439
2005,Hyundai,Tiburon,kmhhn65f85u177038
2009,Nissan,Altima,1n4bl21e09c135292
2013,Ford,Explorer,1fm5k7d8xdgb78113
2012,Toyota,RAV4,2t3zf4dv2cw153420
2001,Acura,MDX,2hnyd18841h512469
2011,BMW,X6,5uxfg8c5xblz96189
2011,Nissan,Rogue,jn8as5mv4bw686078
2011,Ford,E-Series Van,1ftne1ew7bda85635
2012,Scion,xB,jtlze4fe9cj019068
2012,Chevrolet,Cruze,1g1pc5sh4c7178391
2009,Toyota,Camry,4t1be46k39u275728
2007,Volkswagen,New Beetle,3vwrw31c97m509976
2006,Lexus,IS 250,jthbk262x65013551
2007,Suzuki,XL7,2s3da417376128463
2013,Mazda,CX-5,jm3ke2de8d0137552
2009,Dodge,Challenger,2b3lj44v49h609819
2009,Honda,Fit,jhmge88459s003370
2013,BMW,3 Series,wbakf9c50de672682
2013,Hyundai,Sonata,5npeb4acxdh737148
2014,Kia,Rio,knadm4a33e6326544
2007,Toyota,Yaris,jtdbt923571066592
2008,Ford,Focus,1fahp35n18w120523
2004,Chevrolet,Malibu,1g1zs52844f192567
2006,Chevrolet,Cobalt,1g1ak15f967870369
2004,Chevrolet,Silverado 2500,1gcgk23u44f203978
2013,Volkswagen,Jetta,3vwll7aj2dm274188
2005,Kia,Sedona,kndup132256698079
2004,Lexus,RX 330,2t2ha31u14c017917
2012,Ford,Fusion,3fahp0ja6cr331780
2004,GMC,Envoy,1gkdt13s542333661
2003,Chevrolet,Impala,2g1wf52e539246382
2011,Nissan,Altima,1n4al2ap8bc122969
2012,Honda,Civic,19xfb2f87ce031982
2013,Cadillac,ATS,1g6ab5rx1d0124959
2006,Volvo,S80,yv1ts592261441859
2014,Chevrolet,Malibu,1g11b5sl5ef177739
2006,Chevrolet,Silverado 3500,1gcjk33d86f145856
2010,Toyota,Corolla,1nxbu4ee8az383443
2003,Ford,Thunderbird,1fahp60a93y104735
2008,Mercedes-Benz,C-Class,wddgf81x48f078173
2014,Nissan,Versa,3n1cn7ap4el823854
2015,Jeep,Wrangler,1c4bjweg9fl522728
2003,Honda,Civic,1hgem21523l010730
2011,Ford,Taurus,1fahp2dw8bg165691
2013,Ford,Focus,1fadp3k26dl184691
2014,Ford,Fusion,3fa6p0k94er323918
2012,Nissan,Altima,1n4al2ap7cc179150
2012,Toyota,Camry,4t1bf1fk2cu023178
2012,Infiniti,M,jn1by1ar6cm391210
2012,Kia,Sportage,kndpbca29c7250424
2012,Ford,Explorer,1fmhk7d85cga79808
