year,make,model,vin
2012,Buick,LaCrosse,1g4ga5gr7cf164386
2013,Hyundai,Accent,kmhct4aexdu539872
2007,Suzuki,Forenza,kl5jd56z77k527226
2014,Lexus,IS 350,jthce1d25e5001511
2004,Jaguar,X-Type,sajea51c94we16645
2014,Ford,Mustang,1zvbp8am1e5237690
2014,Chrysler,Town and Country,2c4rc1bg5er386474
2012,Audi,A5,waulfafh5cn005651
2013,Ford,Focus,1fadp3f21dl164990
2008,Dodge,Avenger,1b3lc56r68n115886
2011,Honda,Pilot,5fnyf4h95bb019322
2007,BMW,X5,5uxfe83527lz40308
2013,Nissan,Maxima,1n4aa5ap0dc829378
2012,Suzuki,Grand Vitara,js3td0d24c4100338
2004,Ford,Taurus,1fahp53u94a200245
2010,Mazda,CX-9,jm3tb2ma8a0235728
2014,Chevrolet,Equinox,2gnalbek3e6272419
2014,Nissan,Versa,3n1cn7ap6el842289
2014,Chrysler,Town and Country,2c4rc1bg2er437882
2010,Toyota,Corolla,1nxbu4ee7az307888
2012,Infiniti,G Sedan,jn1cv6ap3cm622119
2014,Kia,Optima,5xxgm4a71eg294469
2012,Cadillac,SRX,3gyfnae38cs564202
2009,Nissan,GT-R,jn1ar54f89m250682
2012,Chevrolet,Volt,1g1rd6e4xcu109548
2007,Toyota,Camry,4t1be46kx7u171573
2012,BMW,X3,5uxwx5c51cl727692
2014,Ford,E-Series Van,1ftne2ew5eda10264
2005,Ford,Escape,1fmyu96h95kb95600
2014,Dodge,Charger,2c3cdxbg1eh269037
2014,Hyundai,Genesis,kmhgc4dd8eu261821
2014,Chrysler,Town and Country,2c4rc1bg7er442818
2001,Chevrolet,S-10,1gccs19w218192948
2006,Buick,Lucerne,1g4hd57266u183431
2006,Volkswagen,Jetta,3vwrg71k46m695274
2006,Dodge,Grand Caravan,2d4gp44l26r630318
2010,Volvo,XC70,yv4982bz1a1082482
2012,Ford,F-150,1ftex1cm8ckd14090
2007,Pontiac,G6,1g2zh35n774257136
2014,Chevrolet,Cruze,1g1pc5sbxe7421460
2008,Subaru,Tribeca,4s4wx98d584408916
2004,Chevrolet,Silverado 1500,1gcek19vx4e145821
2013,Chevrolet,Impala,2g1wf5e34d1175234
2006,Ford,Taurus,1fafp56u96a141669
2013,Chevrolet,Impala,2g1wg5e34d1200145
2009,Audi,A4,waudf48h49k008151
2011,Infiniti,G Convertible,jn1cv6fe4bm951532
2014,Toyota,Corolla,5yfburhe9ep126226
2013,Ford,Explorer,1fm5k7d84dga71414
2005,Honda,Civic,2hges257x5h610235
2014,Jeep,Wrangler,1c4bjweg5el161335
2008,Kia,Sorento,kndjc735785793677
2013,Hyundai,Elantra,5npdh4ae0dh446508
2011,Ford,Mustang,1zvbp8ff8b5131680
2012,Infiniti,G Sedan,jn1cv6ar8cm679093
2010,Toyota,Camry,4t1bf3ek3au552648
2011,BMW,5 Series,wbafu7c59bdu55856
2013,Dodge,Charger,2c3cdxbg6dh637999
2008,Dodge,Avenger,1b3lc46k38n649649
2005,Chevrolet,Express Cargo,1gcfg15x051210746
2001,Mazda,Tribute,4f2yu09151km47819
2006,Jeep,Grand Cherokee,1j4gr48k06c108475
2013,Hyundai,Genesis,kmhgc4dh6du257137
2013,Ford,Edge,2fmdk3kc7dbb55276
2014,Infiniti,QX60,5n1al0mm9ec520949
2012,Ford,Flex,2fmhk6dt0cbd09857
2008,Chevrolet,Cobalt,1g1ak18f387348626
2005,Nissan,Titan,1n6aa06a25n558912
2007,Cadillac,Escalade ESV,1gyfk66817r253803
2015,Audi,A6,waugfafc9fn029378
2006,Chevrolet,Malibu,1g1zt51856f190831
2012,Jeep,Grand Cherokee,1c4rjfag5cc161269
2014,Nissan,Rogue,5n1at2mt2ec859913
2005,Chevrolet,Impala,2g1wh52k959332507
2006,Isuzu,Ascender,4nuds13s662702873
2011,Hyundai,Accent,kmhcm3ac7bu197395
2014,Chevrolet,Malibu,1g11e5sl1ef290241
2012,Toyota,Camry,4t1bf1fk6cu062758
2011,Jeep,Liberty,1j4pn2gkxbw532286
2008,Ford,F-350 Super Duty,1ftww31r28eb26883
2014,Chevrolet,Cruze,1g1pc5sbxe7205236
2014,Chevrolet,Equinox,2gnflde30e6153950
2012,Ford,Escape,1fmcu9dgxcka30141
2011,Nissan,Frontier,1n6ad0fv2bc439324
2012,MINI,Cooper,wmwsu3c56ct256679
2007,Dodge,Ram Pickup 2500,1d7ks28a37j608570
2013,Dodge,Durango,1c4sdjct8dc563066
2014,Kia,Rio,knadm4a36e6390996
2013,Chevrolet,Camaro,2g1fb1e39d9126844
2014,Chevrolet,Express Cargo,1gcsgafx4e1173813
2003,Infiniti,G35,jnkcv51ex3m310822
2013,Chevrolet,Impala,2g1wg5e3xd1259250
2013,Ford,Focus,1fadp3f22dl209399
2013,Chevrolet,Traverse,1gnkrfed6dj142406
2010,Mercury,Mountaineer,4m2en3jexauj07368
2013,Chevrolet,Sonic,1g1jc6sh3d4215932
2014,Dodge,Challenger,2c3cdyagxeh224606
2013,Hyundai,Accent,kmhct4ae2du475911
2014,Jeep,Cherokee,1c4pjmab3ew171672
2013,Infiniti,JX,5n1al0mn3dc331916
2013,Chevrolet,Impala,2g1wg5e30d1217718
2014,Jeep,Grand Cherokee,1c4rjfbg8ec269080
2001,Chevrolet,Astro Cargo,1gcdm19w51b104170
2013,BMW,X1,wbavm5c53dvv90151
2014,Chrysler,Town and Country,2c4rc1bg1er398380
2014,Ford,Taurus,1fahp2e81eg143973
2012,Nissan,Altima,1n4al2ap4cn406167
2013,Nissan,Altima,1n4al3ap3dn454881
2014,Ford,Taurus,1fahp2f81eg163395
2012,Lincoln,MKZ,3lnhl2jcxcr806457
2004,Volkswagen,Jetta,3vwrk69m74m016383
2004,Cadillac,Escalade,1gyek63n54r313437
2011,Toyota,RAV4,2t3zf4dv5bw069882
2013,Hyundai,Accent,kmhct4ae6du445083
2013,Ford,F-150,1ftfw1et1dfa61359
2007,Ford,Mustang,1zvft80n975295959
2007,Ford,Edge,2fmdk36c57ba80320
2007,landrover,rangerover,salsh23487a990985
2015,Kia,Sorento,5xyktca67fg585733
2007,Jeep,Liberty,1j4gl58k57w521094
2013,Hyundai,Genesis,kmhgc4dd6du246071
2014,FIAT,500L,zfbcfaahxez016623
2013,Ford,Fusion,3fa6p0h78dr141207
2013,Toyota,Tundra,5tfru5f18dx028988
2006,Dodge,Grand Caravan,2d4gp44l56r653981
2013,Kia,Soul,kndjt2a61d7766844
2002,Toyota,Camry Solara,2t1ce22p72c006830
2012,Ford,Escape,1fmcu9e79ckc41121
2001,Ford,Explorer Sport Trac,1fmzu77e21uc12488
2008,Chrysler,Sebring,1c3lc55r78n203169
2001,Oldsmobile,Aurora,1g3gr64h614182496
2008,Ford,F-150,1ftrx14w88fa25731
2003,Jeep,Grand Cherokee,1j8gw68j53c571346
2012,Chevrolet,Silverado 1500,3gcpkrea0cg289850
2013,Toyota,Corolla,5yfbu4ee4dp193208
2012,Infiniti,G Sedan,jn1cv6ap8cm620642
2006,Dodge,Dakota,1d7he28k16s702630
2013,Nissan,Maxima,1n4aa5ap7dc837588
