year,make,model,vin
2014,Nissan,Sentra,3n1ab7ap7el633904
2014,Ford,Mustang,1zvbp8emxe5292133
2006,Nissan,Armada,5n1aa08a86n723682
2014,Chevrolet,Impala Limited,2g1wb5e35e1150355
2014,Chevrolet,Silverado 1500,3gcukreh6eg269525
2001,Mazda,Tribute,4f2cu09111km31627
2011,BMW,X5,5uxzw0c57bl656483
2013,Ford,Fusion,3fa6p0hr0dr183064
1999,Nissan,Altima,1n4dl01d1xc251876
2014,GMC,Savana Cargo,1gtw7fca1e1904244
2014,Chrysler,300,2c3ccakg8eh246922
2012,Dodge,Avenger,1c3cdzab1cn324608
2011,Infiniti,G Coupe,jn1cv6ek0bm215758
2007,BMW,3 Series,wbava33527kx82485
2014,Kia,Sorento,5xykt3a66eg523349
2012,BMW,1 Series,wbaun1c5xcvr00070
2013,Volkswagen,Passat,1vwbp7a30dc014603
2013,Dodge,Charger,2c3cdxbg0dh689144
2002,Dodge,Dakota,1b7hg48n12s516929
2014,Ford,Expedition,1fmjk2a56eef56386
2009,Chevrolet,Impala,2g1wt57n091221494
2011,Chrysler,Town and Country,2a4rr5dg8br694912
2013,Chevrolet,Equinox,2gnalbek7d6359836
2013,Ford,Escape,1fmcu9gx8dub59769
2008,Infiniti,G35,jnkbv61e88m215362
2014,Volkswagen,Jetta,3vwd17aj8em263871
2002,Dodge,Durango,1b4hs58n82f102458
2003,Chevrolet,Malibu,1g1nd52j73m552713
2013,Volkswagen,Passat,1vwap7a33dc021007
2013,Chevrolet,Silverado 1500,3gcpcse00dg150461
2011,Ford,Fusion,3fahp0kc9br235186
2003,Chrysler,PT Cruiser,3c4fy48b13t502538
2014,Chevrolet,Cruze,1g1pg5sb1e7118670
2012,Cadillac,SRX,3gyfnge36cs646271
2012,BMW,X5,5uxzv4c52cl988861
2008,Audi,A4,wauaf78e38a138775
2013,Dodge,Grand Caravan,2c4rdgcg5dr573842
2009,GMC,Acadia,1gker33d59j203442
2014,Jeep,Compass,1c4njcba8ed774667
2003,Cadillac,DeVille,1g6kd54y33u172680
2012,MINI,Cooper Clubman,wmwzg3c5xcty37950
2012,Chevrolet,Silverado 1500,1gcrcse02cz217164
2014,Chrysler,Town and Country,2c4rc1bg2er441530
2008,Nissan,Altima,1n4bl24e78c212279
2014,Dodge,Charger,2c3cdxctxeh288326
2012,Ford,Escape,1fmcu0e78ckb91565
2013,Nissan,Versa,3n1cn7ap1dl865087
2013,Ford,Mustang,1zvbp8cf4d5201019
2012,Ford,Escape,1fmcu0d74ckc12462
2009,BMW,X5,5uxfe43559l261094
2012,Toyota,Camry,4t1bf1fk1cu519556
2004,Ford,Econoline Cargo,1ftse34l04ha14925
2005,Volkswagen,Passat,wvwcd63b35e010503
2013,Kia,Optima,5xxgm4a73dg150761
2013,Hyundai,Elantra,5npdh4ae8dh299368
2007,Mercedes-Benz,R-Class,4jgcb65e67a056765
2003,Buick,Century,2g4ws52j931158185
2012,Ford,Focus,1fahp3f22cl375101
2012,Ford,Fusion,3fahp0ha8cr315263
2004,Pontiac,Grand Prix,2g2ws522141148981
2010,Chevrolet,Cobalt,1g1af5f52a7188198
1999,Dodge,Intrepid,2b3hd56j2xh660777
2009,BMW,3 Series,wbawv13539p122751
2013,Infiniti,G Sedan,jn1cv6arxdm761778
2006,Honda,Accord,1hgcm56386a098697
2006,BMW,3 Series,wbavb13546kx40092
2007,Mercury,Mountaineer,4m2eu488x7uj11986
2011,Scion,tC,jtkjf5c74b3017516
2012,Lexus,ES 350,jthbk1eg7c2509394
2004,Nissan,Altima,1n4al11d54c156161
1998,Nissan,Maxima,jn1ca21a1wm802316
2012,Toyota,Highlander,5tdbk3eh4cs151802
2011,Ram,2500,3d7tt2ct3bg511387
2013,Toyota,Corolla,5yfbu4ee5dp081145
2012,BMW,X3,5uxwx5c52cl721643
2012,Audi,A8,waurvafd9cn011656
2014,Chevrolet,Spark,kl8cf6s90ec432953
2013,Ford,Fusion,3fa6p0k92dr142248
2013,Buick,Regal,2g4gs5er6d9203690
2006,Nissan,Xterra,5n1an08u26c556147
2013,Ford,Edge,2fmdk4jc0dbb13930
2012,Chevrolet,Equinox,2gnflcek4c6143100
2007,Toyota,Camry,4t1be46k97u584570
2012,Volkswagen,Passat,1vwap7a35cc015174
2009,Acura,TL,19uua86589a015189
2014,Chevrolet,Cruze,1g1pc5sb3e7436835
2012,Infiniti,G Sedan,jn1cv6ap2cm933878
2012,Volkswagen,Passat,1vwbh7a38cc030740
2012,Ford,Edge,2fmdk3gc6cba18126
2007,Chevrolet,Tahoe,1gnek13007r170566
2001,Saturn,S-Series,1g8zh54841z301343
2011,Toyota,Tundra,5tfru5f19bx024624
2012,Honda,Accord,1hgcp2f38ca215423
2013,Toyota,Corolla,2t1bu4ee5dc943179
2013,Nissan,Altima,1n4al3ap8dn410424
2014,Ford,Explorer,1fm5k8f82egc49356
2001,GMC,Sonoma,1gtct19wx18209847
2004,Chevrolet,Express Cargo,1gcgg25v741100185
2012,Nissan,Altima,1n4al2ap0cc136222
2007,Mercedes-Benz,C-Class,wdbrf54h57a917263
2008,Ford,F-250 Super Duty,1ftsf20rx8ec59062
2013,Hyundai,Elantra,5npdh4ae1dh377702
2014,Dodge,Charger,2c3cdxhg5eh267198
2014,Ford,E-Series Van,1ftne2ew3eda18931
2014,Toyota,Camry,4t1bf1fk7eu328520
2013,Chrysler,200,1c3ccbcg1dn520942
2012,Toyota,Camry,4t1bf1fk5cu096397
2012,Honda,Civic,19xfb2f88ce346774
2012,Nissan,Rogue,jn8as5mt5cw300686
2011,Chevrolet,Silverado 3500HD,1gc4k1c81bf235199
2001,Isuzu,Rodeo,4s2ck58w214336647
2007,Audi,A4,wauaf48h57k027310
2014,GMC,Terrain,2gkflwekxe6300162
2014,Nissan,Altima,1n4al3ap0en341021
