track,album_name,artist,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_popularity,youtube_views,tiktok_views,airplay_spins,siriusxm_spins,pandora_streams,soundcloud_streams,shazam_counts,explicit_track
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,4/26/2024,QM24S2402528,1,725.4,"390,470,936",92.0,"84,274,754","5,332,281,936","40,975",684,"18,004,655","4,818,457","2,669,262",0
Not Like Us,Not Like Us,Kendrick Lamar,5/4/2024,USUG12400910,2,545.9,"323,703,884",92.0,"116,347,040","208,339,025","40,778",3,"7,780,028","6,623,075","1,118,279",1
i like the way you kiss me,I like the way you kiss me,Artemas,3/19/2024,QZJ842400387,3,538.4,"601,309,283",92.0,"122,599,116","3,369,120,610","74,333",536,"5,022,621","7,208,651","5,285,340",0
Lovin On Me,Lovin On Me,Jack Harlow,11/10/2023,USAT22311371,6,410.1,"670,665,438",83.0,"131,148,091","2,938,686,633","522,042","4,654","138,529,362","9,438,601","4,517,131",1
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,5/23/2024,USSM12404354,10,330.6,"90,676,573",86.0,"32,735,244","974,656,200","3,823",117,"1,005,626","3,679,709","666,302",1
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,5/10/2024,USUM72404990,11,322.1,"250,080,413",91.0,"32,229,063","2,100,000","62,312",71,"23,155,471","1,594,605","963,413",1
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401991,13,316.3,"221,636,195",92.0,"40,022,524","360,017,000","41,344",45,"1,354,692","1,313,357","450,344",0
LALA,LALA - Single,Myke Towers,3/22/2023,USWL12300002,16,299.9,"925,655,569",79.0,"934,302,031","7,499,234,052","92,231",228,"12,171,026","871,978","2,765,808",1
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,USUG12401028,17,297.6,"395,433,400",89.0,"104,673,836","207,317,000","129,968",3,"9,961,769","377,734","1,210,029",0
BLUE,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401996,19,292.6,"91,272,461",86.0,"16,038,053","1,225,345,800",181,1,"283,089","975,891","257,661",0
Espresso,Espresso,Sabrina Carpenter,4/12/2024,USUM72403305,22,281.5,"547,882,871",95.0,"107,550,212","1,379,499,000","37,208",236,"10,362,898","1,551,157","1,373,085",1
SHEESH,BABYMONS7ER,BABYMONSTER,4/1/2024,KRA402400016,32,237.5,"124,893,397",82.0,"359,896,095","390,081,328","2,188",32,"130,743","265,670","191,867",0
Water,Water,Tyla,7/28/2023,USSM12305126,33,234.6,"670,376,179",83.0,"265,180,930","3,932,956,380","486,952","1,215","40,418,532","6,049,784","6,447,136",0
Strangers,Strangers,Kenya Grace,9/1/2023,USWB12305048,34,233.5,"750,154,960",79.0,"118,208,096","2,231,749,390","378,114",856,"20,228,317","10,938,075","7,477,917",0
Lose Control,Lose Control,Teddy Swims,6/23/2023,USWB12302315,38,224.1,"775,135,157",87.0,"139,180,960","597,513,595","605,841",162,"253,538,985","5,409,388","10,517,831",0
fukumean,fukumean,Gunna,6/15/2023,USAT22306575,39,221.1,"759,998,727",80.0,"94,699,547","3,281,790,327","265,291","4,003","64,456,799","33,130,829","3,945,184",1
Dance Monkey,Dance Monkey,Tones And I,5/10/2019,QZES71982312,40,214.5,"3,071,214,106",71.0,"3,366,447,481","5,861,939,942","573,733",169,"373,294,159","37,430,204","44,842,636",0
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401994,41,212.8,"214,237,645",92.0,"11,033,725","443,104,700","3,400",8,"840,442","1,369,981","285,858",0
I'm Good (Blue),I'm Good (Blue),David Guetta,8/26/2022,UKWLG2200055,43,209.6,"1,658,229,422",83.0,"466,080,689","1,051,836,430","935,190","2,487","139,926,990","8,007,236","10,973,120",1
Daylight,Daylight,David Kushner,4/14/2023,QZXDB2300005,44,207.0,"1,126,820,069",82.0,"274,070,101","2,578,518,632","259,255",96,"28,924,685","9,505,098","8,681,350",0
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,9/15/2023,USJ5G2335007,45,206.2,"997,702,304",86.0,"48,093,111","5,469,808,282","36,285","2,676","6,151,267","7,980,051","2,682,219",0
Please Please Please,Please Please Please,Sabrina Carpenter,6/6/2024,USUM72404101,46,205.7,"59,314,441",83.0,"22,374,807","1,200,000","2,359",2,"360,163","9,883","47,115",1
Houdini,Houdini - Single,Dua Lipa,11/9/2023,GBAHT2301246,47,205.1,"493,627,071",80.0,"150,571,504","386,610,043","564,640",405,"25,843,941","1,991,527","2,389,957",0
Shape of You,Shape of You,Ed Sheeran,1/6/2017,GBAHS1600463,54,195.1,"3,909,458,734",80.0,"8,013,997,219","2,320,856,331","402,829",282,"733,565,655","78,149,375","1,146,246",0
Blinding Lights,Blinding Lights,The Weeknd,11/29/2019,USUG11904206,56,194.0,"4,281,468,720",83.0,"833,807,130","3,501,177,394","1,695,240","1,116","489,299,762","28,659,471","28,994,660",0
Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,9/22/2022,GBUM72205415,60,189.1,"1,556,275,789",74.0,"254,051,906","7,945,975,878","718,849",117,"111,398,743","10,424,892","10,192,485",0
Supernova,Supernova,aespa,5/13/2024,KRA302400090,63,186.1,"69,729,033",81.0,"111,310,770","393,973,528",709,13,"45,515","255,951","63,283",0
Calm Down,Calm Down,Rema,2/10/2022,NGA3B2214004,66,180.1,"584,427,088",68.0,"1,141,904,909","18,216,656,774","191,634",759,"98,290,873","14,668,216","22,563,407",0
Kill Bill,SOS,SZA,12/8/2022,USRC12204584,68,177.7,"1,873,746,537",82.0,"220,538,045","1,284,413,960","655,242","5,448","57,350,590","16,992,932","4,873,832",0
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,7/13/2023,USUM72307484,69,177.6,"891,720,245",82.0,"144,741,616","3,998,086,216","275,119",68,"39,374,594","5,418,596","4,476,509",0
Old Town Road,Old Town Road,Lil Nas X,3/14/2019,USSM11901941,75,170.3,"1,010,494,713",67.0,"3,203,314,695","1,981,431,049","49,780","2,195","181,784,010","106,880,548","8,856,633",0
Sprinter,Sprinter - Single,Dave,6/1/2023,GBUM72305159,78,168.1,"692,512,930",78.0,"219,666,692","1,254,944,697","42,082",36,"411,656","12,405,917","3,093,667",1
TQG,TQG,KAROL G,2/23/2023,USUM72222541,80,167.8,"1,024,381,758",78.0,"1,102,289,596","248,168,852","149,584",38,"68,022,934","164,895","3,488,226",1
Pepas,Pepas,Farruko,6/24/2021,USSD12100307,82,167.3,"1,500,499,584",74.0,"1,431,591,689","4,067,248,819","240,677",438,"120,046,948","6,227","17,210,946",1
Ella Baila Sola,Ella Baila Sola,Eslabon Armado,3/16/2023,USE7D2300007,84,166.5,"1,215,336,974",74.0,"701,880,622","15,373,104","40,153",227,"84,378,219","17,115,523","3,435,177",0
Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,5/25/2023,USAT22305457,85,166.2,"860,026,452",80.0,"173,044,031","1,227,837,850","759,185","1,100","64,567,514","1,843,883","3,199,636",0
La Bebe - Remix,La Bebe (Remix),Yng Lvcas,3/17/2023,MXF152300159,86,164.9,"1,032,225,805",79.0,"920,878,032","2,416,141,351","57,941",177,"55,410,702","230,579","2,635,577",1
All My Life (feat. J. Cole),All My Life (feat. J. Cole),Lil Durk,5/12/2023,USQX92302957,90,162.0,"333,202,114",68.0,"203,487,345","748,253,884","346,411",146,"90,114,807","16,620,102","4,207,535",1
"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,7/6/2022,UYB282201028,92,161.7,"1,692,951,462",78.0,"1,132,539,234","2,054,826,154","138,254",37,"18,052,815","4,099,686","6,836,893",0
Magnetic,SUPER REAL ME,ILLIT,3/25/2024,USA2P2413259,93,161.0,"255,076,355",86.0,"202,206,901","506,476,590","4,716",137,"220,481","556,784","659,825",0
Boy's a Liar Pt. 2,Boy's a liar Pt. 2,PinkPantheress,2/3/2023,GBAYE2300015,96,153.6,"851,085,705",70.0,"211,810,152","8,781,020,473","223,173","6,243","10,207,007","13,896,129","2,580,691",1
Snooze,SOS,SZA,12/9/2022,USRC12204591,97,153.3,"1,013,350,808",84.0,"390,677,417","887,803,828","559,589",513,"74,611,167","17,702,595","3,129,609",1
Lil Boo Thang,Lil Boo Thang,Paul Russell,8/18/2023,USAR12300323,102,152.1,"242,070,373",76.0,"22,907,992","3,832,221,658","370,635","5,999","84,425,715","670,026","2,219,984",0
MONACO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,QMFME2364182,103,150.7,"478,150,858",78.0,"113,379,734","2,111,289,492","35,330",39,"17,823,388","4,374,049","2,255,465",1
Training Season,Training Season,Dua Lipa,2/15/2024,GBAHT2301078,106,148.9,"251,153,869",76.0,"66,691,067","431,390,500","180,711",57,"10,305,245","776,717","2,047,771",0
The Box,Please Excuse Me For Being Antisocial,Roddy Ricch,12/6/2019,USAT21906978,109,146.6,"1,911,559,785",78.0,"441,257,231","4,574,447,121","296,948",181,"295,741,432","168,458,097","11,988,760",1
Fast Car,Gettin' Old,Luke Combs,3/24/2023,US6XF2200436,112,144.5,"518,988,585",80.0,"107,703,759","924,204,888","673,629",59,"184,924,061","728,039","3,108,167",0
Believer,Believer,Imagine Dragons,1/31/2017,USUM71700626,119,142.2,"3,006,226,762",81.0,"4,495,059,988","5,876,458,723","253,782",388,"614,578,695","2,943,611","21,306,706",0
WAIT FOR U (feat. Drake & Tems),WAIT FOR U (feat. Drake & Tems),Future,4/27/2022,USSM12203789,120,141.0,"787,155,930",77.0,"357,772,653","836,550,889","463,665","1,308","182,315,884","48,937,045","3,534,164",1
I KNOW ?,UTOPIA,Travis Scott,7/28/2023,USSM12305012,121,139.5,"532,605,345",81.0,"97,958,347","947,194,801","107,637",57,"6,334,599","12,785,993","1,861,958",1
First Class,First Class,Jack Harlow,4/8/2022,USAT22203024,123,138.6,"818,858,244",71.0,"231,229,581","6,890,780,336","666,615","4,406","117,451,442","24,111,168","4,244,972",1
FE!N,UTOPIA,Travis Scott,7/28/2023,USSM12305010,124,137.8,"659,010,786",86.0,"125,203,447","107,398,826","37,314",361,"3,029,375","14,942,955","1,839,283",1
MI EX TENï¿½ï¿½A RA,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,KAROL G,8/10/2023,USUG12305253,128,136.2,"438,796,949",78.0,"509,727,241","782,582,119","60,758",959,"38,214,505","62,622","865,444",0
Mood (feat. iann dior),Mood (feat. Iann Dior),24kGoldn,7/24/2020,USQX92003025,130,133.0,"1,867,736,006",76.0,"747,126,783","1,768,836,179","931,316","1,897","240,562,062","40,756,476","10,228,436",1
vampire,vampire,Olivia Rodrigo,6/30/2023,USUG12304091,138,128.9,"998,964,097",18.0,"113,450,524","1,448,207,880","161,513",93,"28,318,435","4,296,515","4,872,257",1
People,People - Single,Libianca,12/5/2022,QZTB52268087,141,127.8,"631,955,547",74.0,"305,998,382","3,233,505,931","122,781",202,"9,017,480","8,026,553","6,121,126",1
Lucid Dreams,Lucid Dreams,Juice WRLD,5/4/2018,USUG11800685,150,123.9,"2,548,389,305",78.0,"987,143,411","338,071,383","69,562",132,"259,400,789","257,459,352","9,308,937",1
Last Night,3 Songs At A Time Sampler,Morgan Wallen,1/31/2023,USUG12300802,157,121.9,"922,010,059",79.0,"141,852,059","811,685,466","18,364","1,846","307,115,852","13,022,144","2,665,347",1
Bad Habits,#NAME?,Ed Sheeran,1/1/2020,GBAHS2100318,159,120.8,"1,754,311,538",74.0,"958,790,883","2,658,904,267","1,347,725","1,035","269,834,154","17,144,484","15,886,717",0
I Remember Everything (feat. Kacey Musgraves),I Remember Everything (feat. Kacey Musgraves),Zach Bryan,8/24/2023,USWB12304903,169,116.5,"630,373,315",84.0,"50,938,569","586,454,750","83,414",35,"147,144,967","5,597,165","1,673,932",0
EL AMOR DE SU VIDA,EL AMOR DE SU VIDA,Grupo Frontera,8/3/2023,DGA062382895,171,115.9,"474,590,289",78.0,"577,930,708","509,287,649","15,783",215,"44,676,754","774,895","1,173,817",0
PERRO NEGRO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,QMFME2364199,175,114.2,"689,181,455",83.0,"183,381,482","487,440,417","32,507",175,"14,039,085","2,473,108","930,098",1
I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,Post Malone,6/3/2022,USUM72208023,179,112.5,"827,950,825",73.0,"299,001,099","1,359,837,461","761,996","2,175","150,508,004","6,459,716","3,384,275",1
golden hour,golden hour,JVKE,7/15/2022,GBKPL2204171,183,111.4,"1,126,986,320",73.0,"293,553,015","2,305,840,359","148,360",719,"32,611,885","14,112,455","3,897,680",0
Get It Sexyy,Get It Sexyy,Sexyy Red,3/15/2024,QZSYP2454435,185,111.1,"89,362,910",84.0,"37,676,729","476,545,000","52,534",976,"10,234,988","2,263,132","514,293",1
Escapism.,Escapism. / The Thrill Is Gone.,RAYE,10/12/2022,QMDA62217995,190,110.1,"804,925,777",75.0,"175,393,116","3,209,982,240","400,246",65,"21,279,325","9,065,143","6,548,714",1
Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",Drake,6/17/2022,USUG12204897,192,109.7,"971,473,231",78.0,"198,796,965","926,300,276","1,041",641,"50,899,547","24,117,364","3,142,892",1
What You Know Bout Love,Shoot For The Stars Aim For The Moon,Pop Smoke,7/3/2020,USUM72013339,193,109.5,"1,125,681,368",72.0,"306,628,096","2,775,640,343","372,838",744,"224,742,683","70,901,053","3,908,069",1
Without Me,Without Me,Halsey,10/4/2018,USUM71813499,200,107.4,"2,042,792,456",75.0,"2,018,089,906","2,216,715,741","320,792",300,"562,568,504","24,711,739","14,816,076",1
Shallow,Shallow,Lady Gaga,9/27/2018,USUM71813192,204,106.9,"2,447,973,078",78.0,"2,732,311,956","168,789,459","228,874",135,"387,105,091","1,196,386","153,863",0
Rush,Rush,Ayra Starr,9/16/2022,NGA3B2216004,205,106.4,"371,886,608",67.0,"361,174,452","1,454,848,289","85,871",230,"10,681,624","9,245,741","8,870,769",0
Bad Habit,Bad Habit,Steve Lacy,6/29/2022,USRC12201440,207,105.8,"1,087,938,471",73.0,"147,472,695","2,783,442,788","2,962","1,461","13,639,179","26,683,563","4,118,983",1
